gw_bin,sigma,sigma_smoothed
1-6,186.40002978515625,222.67549822998046
7-12,258.95096667480465,215.2815616088867
13-18,200.49368836669922,209.96541263427733
19-24,170.45158286132812,177.20105963745115
25-30,160.65790768432618,146.471352835083
31-34,108.30456795959472,105.20485915603633
35-38,46.65210182418823,77.47833489189144
