manager,seasons,avg_seasons_points,avg_seasons_rank,num_wins
allan,4,,,3
amy,1,,,0
cam,1,,,0
charlieh,2,,,0
eve,1,,,0
greg,1,,,0
iain,4,,,0
jamie,4,,,0
katty,1,,,0
matt,3,,,0
mika,2,,,0
roger,4,,,0
saughn,4,,,0
simon,1,,,0
vitty,1,,,0
will,1,,,0
aliya,1,,,0
artur,3,,,0
azha,1,,,0
charliebn,3,,,0
damy,1,,,0
devan,1,,,0
flemming,3,,,0
lloyd,1,,,0
mamta,3,,,0
oli,3,,,0
alan,2,,,0
george,1,,,0
jonas,1,,,0
nielsj,1,,,0
patricia,1,,,0
tobias,1,,,0
